{'installation_id': 'rayzor', 'collector_id': 'rayzor2015', 'device_reports': {'Zone-2015': {'readings': [{'reading_type': 'pir_motion', 'reading_unit': 'flag', 'reading_val_type': 'boolean', 'reading_val': False, 'reading_time': '2023-07-21T16:03:55.997042-0500', 'hardware_info': {'sensor_id': 'PIR8', 'sensor_device': 'Arduino MKR 1010'}}]}}}
{'installation_id': 'rayzor', 'collector_id': 'rayzor2015', 'device_reports': {'Zone-2015': {'readings': [{'reading_type': 'pir_motion', 'reading_unit': 'flag', 'reading_val_type': 'boolean', 'reading_val': False, 'reading_time': '2023-07-21T16:03:56.735550-0500', 'hardware_info': {'sensor_id': 'PIR8', 'sensor_device': 'Arduino MKR 1010'}}]}}}
{'installation_id': 'rayzor', 'collector_id': 'rayzor2015', 'device_reports': {'Zone-2015': {'readings': [{'reading_type': 'pir_motion', 'reading_unit': 'flag', 'reading_val_type': 'boolean', 'reading_val': False, 'reading_time': '2023-07-21T16:03:57.637997-0500', 'hardware_info': {'sensor_id': 'PIR8', 'sensor_device': 'Arduino MKR 1010'}}]}}}
{'installation_id': 'rayzor', 'collector_id': 'rayzor2015', 'device_reports': {'Zone-2015': {'readings': [{'reading_type': 'pir_motion', 'reading_unit': 'flag', 'reading_val_type': 'boolean', 'reading_val': False, 'reading_time': '2023-07-21T16:03:58.412987-0500', 'hardware_info': {'sensor_id': 'PIR8', 'sensor_device': 'Arduino MKR 1010'}}]}}}
{'installation_id': 'rayzor', 'collector_id': 'rayzor2015', 'device_reports': {'Zone-2015': {'readings': [{'reading_type': 'pir_motion', 'reading_unit': 'flag', 'reading_val_type': 'boolean', 'reading_val': False, 'reading_time': '2023-07-21T16:03:59.104519-0500', 'hardware_info': {'sensor_id': 'PIR8', 'sensor_device': 'Arduino MKR 1010'}}]}}}
{'installation_id': 'rayzor', 'collector_id': 'rayzor2015', 'device_reports': {'Zone-2015': {'readings': [{'reading_type': 'pir_motion', 'reading_unit': 'flag', 'reading_val_type': 'boolean', 'reading_val': False, 'reading_time': '2023-07-21T16:03:59.687524-0500', 'hardware_info': {'sensor_id': 'PIR8', 'sensor_device': 'Arduino MKR 1010'}}]}}}
{'installation_id': 'rayzor', 'collector_id': 'rayzor2015', 'device_reports': {'Zone-2015': {'readings': [{'reading_type': 'pir_motion', 'reading_unit': 'flag', 'reading_val_type': 'boolean', 'reading_val': False, 'reading_time': '2023-07-21T16:04:00.546396-0500', 'hardware_info': {'sensor_id': 'PIR8', 'sensor_device': 'Arduino MKR 1010'}}]}}}
{'installation_id': 'rayzor', 'collector_id': 'rayzor2015', 'device_reports': {'Zone-2015': {'readings': [{'reading_type': 'pir_motion', 'reading_unit': 'flag', 'reading_val_type': 'boolean', 'reading_val': False, 'reading_time': '2023-07-21T16:04:01.271523-0500', 'hardware_info': {'sensor_id': 'PIR8', 'sensor_device': 'Arduino MKR 1010'}}]}}}
{'installation_id': 'rayzor', 'collector_id': 'rayzor2015', 'device_reports': {'Zone-2015': {'readings': [{'reading_type': 'pir_motion', 'reading_unit': 'flag', 'reading_val_type': 'boolean', 'reading_val': False, 'reading_time': '2023-07-21T16:04:02.556278-0500', 'hardware_info': {'sensor_id': 'PIR8', 'sensor_device': 'Arduino MKR 1010'}}]}}}
{'installation_id': 'rayzor', 'collector_id': 'rayzor2015', 'device_reports': {'Zone-2015': {'readings': [{'reading_type': 'pir_motion', 'reading_unit': 'flag', 'reading_val_type': 'boolean', 'reading_val': False, 'reading_time': '2023-07-21T16:04:03.170004-0500', 'hardware_info': {'sensor_id': 'PIR8', 'sensor_device': 'Arduino MKR 1010'}}]}}}
{'installation_id': 'rayzor', 'collector_id': 'rayzor2015', 'device_reports': {'Zone-2015': {'readings': [{'reading_type': 'pir_motion', 'reading_unit': 'flag', 'reading_val_type': 'boolean', 'reading_val': False, 'reading_time': '2023-07-21T16:04:04.187704-0500', 'hardware_info': {'sensor_id': 'PIR8', 'sensor_device': 'Arduino MKR 1010'}}]}}}
{'installation_id': 'rayzor', 'collector_id': 'rayzor2015', 'device_reports': {'Zone-2015': {'readings': [{'reading_type': 'pir_motion', 'reading_unit': 'flag', 'reading_val_type': 'boolean', 'reading_val': False, 'reading_time': '2023-07-21T16:04:04.798284-0500', 'hardware_info': {'sensor_id': 'PIR8', 'sensor_device': 'Arduino MKR 1010'}}]}}}
{'installation_id': 'rayzor', 'collector_id': 'rayzor2015', 'device_reports': {'Zone-2015': {'readings': [{'reading_type': 'pir_motion', 'reading_unit': 'flag', 'reading_val_type': 'boolean', 'reading_val': False, 'reading_time': '2023-07-21T16:04:05.612165-0500', 'hardware_info': {'sensor_id': 'PIR8', 'sensor_device': 'Arduino MKR 1010'}}]}}}
{'installation_id': 'rayzor', 'collector_id': 'rayzor2015', 'device_reports': {'Zone-2015': {'readings': [{'reading_type': 'pir_motion', 'reading_unit': 'flag', 'reading_val_type': 'boolean', 'reading_val': False, 'reading_time': '2023-07-21T16:04:06.372485-0500', 'hardware_info': {'sensor_id': 'PIR8', 'sensor_device': 'Arduino MKR 1010'}}]}}}
